,time,flux
14216,1732.4761022792345,605.54193
14217,1732.4774911708957,596.2845
14218,1732.478880062556,590.3883
14219,1732.4802689542173,590.55585
14220,1732.4816578458795,595.6548
14221,1732.4830467375423,583.4204
14222,1732.4844356292056,579.8139
14223,1732.4858245208698,578.28186
14224,1732.4872134125344,572.65295
14225,1732.4886023041995,574.6359
14226,1732.4899911958662,565.7523
14227,1732.4913800875331,563.6088
14228,1732.4927689792003,564.53766
14229,1732.4941578708685,556.425
14230,1732.4955467625362,547.43384
14231,1732.4969356542051,557.4224
14232,1732.4983245458748,552.9172
14233,1732.499713437545,539.06604
14234,1732.5011023292168,539.58435
14235,1732.5024912208894,540.07874
14236,1732.5038801125606,534.6942
14237,1732.5052690042335,532.1796
14238,1732.5066578959068,539.43744
14239,1732.508046787581,538.1991
14240,1732.509435679256,535.7413
14241,1732.5108245709312,515.79724
14242,1732.5122134626074,518.7386
14243,1732.5136023542843,530.7215
14244,1732.5149912459617,521.1197
14245,1732.5163801376402,528.0661
14246,1732.5177690293185,518.5955
14247,1732.5191579209977,526.91693
14248,1732.5205468126774,525.7032
14249,1732.5219357043575,532.1394
14250,1732.5233245960383,528.7735
14251,1732.5247134877204,532.61304
14252,1732.5261023794035,542.3706
14253,1732.527491271087,548.68024
14254,1732.5288801627703,559.35205
14255,1732.5302690544538,566.1793
14256,1732.5316579461382,560.496
14257,1732.5330468378243,571.9754
14258,1732.5344357295103,573.32715
14259,1732.5358246211974,574.61035
14260,1732.537213512885,584.1047
14261,1732.5386024045733,584.7992
14262,1732.5399912962616,594.2489
14263,1732.5413801879508,597.9581
14264,1732.542769079641,593.68463
14265,1732.5441579713315,593.65216
14266,1732.5455468630225,607.9416
14267,1732.546935754714,602.21576
14268,1732.5483246464062,620.7709
14269,1732.5497135380997,615.0428
14270,1732.5511024297944,629.77905
14271,1732.5524913214886,634.3319
14272,1732.5538802131837,638.31866
14273,1732.5552691048797,646.7718
14274,1732.556657996575,649.5332
14275,1732.5580468882713,661.99603
14276,1732.5594357799694,664.6924
14277,1732.560824671668,664.8043
14278,1732.5622135633673,674.20636
14279,1732.5636024550672,676.3406
14280,1732.5649913467666,658.86755
14281,1732.566380238467,676.94434
14282,1732.567769130168,678.5022
14283,1732.56915802187,675.68604
14284,1732.570546913573,682.22217
14285,1732.5719358052759,680.9074
14286,1732.57332469698,674.99097
14287,1732.574713588685,675.26117
14288,1732.57610248039,683.1926
14289,1732.5774913720957,688.49384
14290,1732.5788802638026,674.7461
14291,1732.5802691555095,672.8415
14292,1732.581658047217,681.65173
14293,1732.583046938924,661.4493
14294,1732.5844358306333,667.27106
14295,1732.5858247223437,663.1975
14296,1732.5872136140547,645.2494
14297,1732.5886025057657,655.2069
14298,1732.5899913974765,665.3419
14299,1732.5913802891878,657.1608
14300,1732.592769180901,653.6856
14301,1732.5941580726146,652.4652
14302,1732.5955469643288,663.0952
14303,1732.596935856043,648.8527
14304,1732.5983247477593,661.21844
14305,1732.5997136394756,659.4669
14306,1732.6011025311914,647.8707
14307,1732.6024914229088,643.8886
14308,1732.603880314627,634.66223
14309,1732.6052692063456,634.9893
14310,1732.6066580980648,621.8094
14311,1732.6080469897838,593.59515
14312,1732.6094358815044,547.5815
14313,1732.6108247732263,510.40546
14314,1732.6122136649483,496.85013
14315,1732.6136025566707,469.5795
14316,1732.6149914483935,463.4286
14317,1732.6163803401168,456.6647
14318,1732.6177692318404,461.1678
14319,1732.6191581235655,460.32812
14320,1732.6205470152906,460.93408
14321,1732.6219359070174,456.26636
14322,1732.6233247987452,456.3446
14323,1732.6247136904724,456.0207
14324,1732.6261025821996,467.5615
14325,1732.6274914739283,474.66403
14326,1732.6288803656582,486.41223
14327,1732.630269257388,494.65637
14328,1732.631658149119,519.31384
14329,1732.6330470408493,544.4883
14330,1732.6344359325817,574.7343
14331,1732.635824824315,582.7528
14332,1732.6372137160483,586.7148
14333,1732.638602607782,598.34296
14334,1732.6399914995168,600.44055
14335,1732.6413803912521,613.57495
